,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
0,Reeder,2699,5,128,2,4,1500  altı,4,Reeder S19 Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Siyah
1,Apple,24499,12,128,4,6,3110,4.5,iPhone 11,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Beyaz
2,Xiaomi,12549,108,256,8,6,5000,4.5,Redmi Note 12 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
3,Reeder,2649,15,128,4,6,3000 - 4000,4.5,P13 Blue Max,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Yeşil
4,Xiaomi,12269,108,256,8,6,5000,4.5,Redmi Note 12 Pro,1,15,4,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Gri
5,Xiaomi,8849,20,128,6,6,5000,5,Redmi Note 12,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Siyah
6,Samsung,8280,20,128,6,6,4000 - 5000,4.5,,1,15,4,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,4500,Mavi
7,Xiaomi,5557,10,128,4,6,6000,4.5,Redmi 10C,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Gri
8,Samsung,5149,10,128,4,6,5000,4.5,Galaxy A04e,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Mavi
9,Reeder,3799,5,256,6,4,1500  altı,4.5,S19 Max Pro,1,40,3,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,5000,Siyah
10,Reeder,3799,5,256,6,4,1500  altı,4.5,S19 Max Pro,1,40,3,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,5000,Altın
11,Xiaomi,11589,20,256,8,6,4000 - 5000,5,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,3.5 mm,4500,Mavi
12,Apple,39300,12,128,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Beyaz
13,Samsung,5098,10,128,4,6,5000,4.5,Galaxy A04e,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Pembe
14,Apple,37199,12,128,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Pembe
15,Xiaomi,6176,5,128,4,4,1500  altı,4,Redmi 10,1,5,4,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Beyaz
16,Xiaomi,3800,10,64,4,6,4000 - 5000,4.5,,10,5,5,6,Android,Var,2,USB Type-C,5,Var,3.5 mm,3000,Mavi
17,Reeder,3229,14,128,4,6,5000,4.5,Reeder S19 Max Pro,1,40,3,6,Android,Var,2,USB Type-C,40,Yok,3.5 mm,5000,Mavi
18,Apple,63898,48,128,6,6,4323,5,iPhone 14 Pro Max,1,10,3,6,iOS,Var,2,Lightning,10,Var,Lightning,4000,Mor
19,Reeder,2245,5,32,2,4,1500  altı,4.5,P13 Blue Max Lite,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,3500,Beyaz
20,Xiaomi,5398,20,128,4,6,4000 - 5000,4.5,Redmi 12C,1,5,1,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,4500,Mavi
21,Apple,37198,12,128,4,6,3095,5,iPhone 13,1,10,2,6,iOS,Yok,2,Lightning,10,Var,Lightning,3000,Mavi
22,Samsung,10969,48,128,8,6,5000,5,Galaxy A34,1,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Gümüş
23,Xiaomi,8849,20,128,6,6,5000,5,Redmi Note 12,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Mavi
